Date,Downloads
2011-04-30,596
2011-05-31,1427
2011-06-30,588
2011-07-31,1675
2011-08-31,646
2011-09-30,358
2011-10-31,542
2011-11-30,108
2011-12-31,144
2012-01-31,101
2012-02-29,201
2012-03-31,147
2012-04-30,184
2012-05-31,99
2012-06-30,86
2012-07-31,122
2012-08-31,113
2012-09-30,138
2012-10-31,149
2012-11-30,164
2012-12-31,133
2013-01-31,137
2013-02-28,157
2013-03-31,142
2013-04-30,130
2013-05-31,205
2013-06-30,39
2013-07-31,53
2013-08-31,63
2013-09-30,36
2013-10-31,64
2013-11-30,104
2013-12-31,48
2014-01-31,24
2014-02-28,63
2014-03-31,67
2014-04-30,82
2014-05-31,128
2014-06-30,91
2014-07-31,75
2014-08-31,18
2014-09-30,65
2014-10-31,89
2014-11-30,171
2014-12-31,112
2015-01-31,56
2015-02-28,305
2015-03-31,301
2015-04-30,42
2015-05-31,28
2015-06-30,68
2015-07-31,227
2015-08-31,56
2015-09-30,236
2015-10-31,201
2015-11-30,88
2015-12-31,113
2016-01-31,188
2016-02-29,193
2016-03-31,7
